#percentage  seed  absolute_enhancement  relative_enhancement
40 -39799 206.07383582701094812613 300.52558750232813639456
40 -5985 145.05827954107804758714 817.90553388061193303764
40 -56952 165.84535014916038116126 1426.22268551956263879400
40 -46360 140.08796301337857386146 1496.57849112717373629464
40 -55037 232.69443881244162781754 336.26860747499675432002
40 -23628 185.25565211070899278471 227.97718945773129736223
40 -155452 136.99595636104520413688 3989.39109755647940314352
40 -39056 145.12709458139537241481 496.74951197656059576627
40 -14970 261.85305723461551747131 358.93434302291631845939
40 -42816 175.31731454802653289422 195.70744430448687841019
40 -9934 208.20091455328280308921 2799.69894773758458657719
40 -37068 357.89976358339233361962 51.88292317013392785635
50 -54944 122.38050967151750362856 356.21931669740587725870
50 -680 82.22095665707355266423 62.32743812284407145922
50 -21846 96.32621485916709668740 134.90749196123612189489
50 -49068 137.03709757122586414941 163.72957870266997510135
50 -3602 73.17475852091459372080 279.93820040142716448244
50 -15833 220.84362638679996055483 2771.45049705745083371965
50 -270936 222.66153603316531056148 214.19971228165982623652
50 -37736 173.13825264176228693519 461.73171502170632708053
50 -93926 190.84272700374430960569 702.85639151091647576506
50 -35811 234.86491814842829929303 4907.55084750976571904149
50 -119674 83.52160028770223138483 209.77944386093631718403
50 -31171 69.61841138021644968282 606.05216931876985062198
50 -11912 83.94661113833156971830 446.03149611392230578588
50 -3998 105.43332201735887815409 103.26951535967523781777
50 -24071 150.59331427184823196553 1398.73690270007172068465
50 -28972 105.60545980582358033557 848.76511754834093795411
50 -47858 186.43355710602508396903 527.27771705969447715460
50 -76140 198.89108953522317213624 191.67888670952417724086
50 -9969 141.82479462259386340828 630.82884109415184425606
50 -32030 132.81089172076786409038 1147.73548459523141631813
50 -48982 78.21435390065313706221 299.38384270163561662120
50 -129216 154.87248337811237990094 436.09193543041065866468
50 -29926 38.63209538611559555558 247.98574057847773090625
50 -38936 115.05788468016280868663 533.86277867233526861274
50 -58793 47.66410539332546282285 608.98372641432741225887
50 -47204 247.99618167946757639977 177.90812883981063874796
50 -5948 102.18043548362884269892 316.88391541600901177714
50 -86712 189.81666107198656662855 70.19473455223055294242
50 -31889 170.26855257445067534228 1655.97814730562635315725
50 -13029 173.37626391124619463530 1554.96599338230528885566
50 -903360 180.41633483213241655952 335.61815083140166372509
50 -25992 161.99371702492765810479 154.55782723843146180229
50 -1796576 64.90050951058427565896 647.51029670728784825142
50 -31340 68.41621806594928353247 89.15941102960328544510
50 -25750 76.85147268274379184369 279.31942347402259290923
50 -53041 223.89259208817639861291 282.53645753833774079561
50 -18919 56.63820457467698596867 1207.88848214630531808162
50 -37945 203.30306022433442339729 178.71065437822828336826
50 -26420 150.93192333981064903027 8514.18763940911584913609
50 -41079 100.01472100150279031679 1466.80344234997659572786
50 -771904 136.27431397725169962323 258.98036185067265972544
50 -113826 147.88207695721538300243 414.38064173791814472602
50 -38024 262.92305264937502301333 2494.58389275062659932384
50 -15355 158.21801431693667446929 23.02154675097472453228
50 -50624 66.99112236783627831800 293.57316902340880362945
50 -53886 95.40800589827376454795 138.98072700348173455549
50 -35840 217.18623326000356831778 485.03188657552893987225
50 -239328 69.18493579011036157550 1078.23780545298291282455
50 -51742 172.54216080917375711429 1751.73750443698393318006
50 -72736 101.01765470269928682391 879.76386990300878328141
60 -44456 140.68118228012645825226 230.41610454966318625218
60 -53902 46.84473014699114253480 153.98018529263713388740
60 -209664 84.33593000600526206668 152.22194338867093251484
60 -127840 32.49243285798070546428 441.70719798283739328747
60 -77742 63.37595126066272631337 65.91065602195775544902
60 -39240 34.60561138196651707743 142.44145957570812875164
60 -18125 65.27771569104585907879 54.68136207498122887341
60 -18906 78.03031559098832946646 204.23027497305267062599
60 -44055 117.71573200695101623681 184.40681247525565574067
60 -34998 90.82870396708893942936 1091.38073914059205384531
60 -22737 50.23686551089731650972 83.15077084714073241417
60 -31968 106.59835693056490922858 15.39363295685800107315
60 -89568 71.67980290583476193091 12.73064810152544548579
60 -5628 35.95686553988264216444 48.72862661331095246048
60 -1081600 117.95388658405463952536 101.31691033032490538268
60 -33162 38.09097098725543063389 163.91873023603513283713
60 -84788 96.66449994011035318225 108.15962546425833170033
60 -46923 94.52114190163188758476 8.89032862298075770530
60 -632 121.03547932860887211328 198.62229383028811837189
60 -5765 18.88871723182597929170 146.71075409170647188233
60 -32780 27.42804272340208824182 476.90832928994862081939
60 -769344 52.09659867899079271005 119.74654866998255790671
60 -54446 27.16648905378736965758 49.30677103065472188548
60 -218216 43.87489022175624899880 229.11422801651888743365
60 -84846 85.14136882811792963815 120.83839348638278225388
60 -48753 92.06620466547324230465 108.90029467448894126874
60 -52627 27.30454083217788779022 461.64788157352599649255
60 -3672128 29.69545621301291252182 236.00878362917993682771
60 -39480 63.69777021153628582782 156.10723894296763603542
60 -14688 25.92179351812552682046 102.82595611224196112484
60 -10736128 37.18965115952464223716 41.11128069169776232595
60 -2177 57.55854420747462745846 1407.42013212977211353956
60 -15848 85.84856429666243642317 79.17905536772685732739
60 -29908 17.04445177096223966192 69.95849122853844124846
60 -124124 55.99923014368670346864 64.41778212461484498822
60 -20791 27.02109969835864822084 351.95780400952643462011
60 -57962 24.74496441735818294870 137.03564150106458338588
60 -13728 44.96331232043480232255 466.89999997510933101230
60 -27717 38.55039957534226844823 372.42805493718706572827
60 -22839 41.76063325736825788502 65.03600222076054246053
60 -37069 71.41342326256933990593 304.43292109466409130618
60 -50170 26.17777455886429981623 401.11535501463561131038
60 -455424 56.01518659508788480657 83.41012448583454982463
60 -3046656 90.67019015073421083279 228.39562358970203877341
60 -49308 92.57076648846734698660 397.62702725612860857136
60 -508192 91.24667746433632936456 55.73243608955325642823
60 -9891 40.61610617370860676107 1093.66851163632556341085
60 -399400 28.18256581071654320953 184.15586483023146349668
60 -700768 99.64558841912355396545 1569.93950795359948777408
60 -6080 51.62327421090788760164 145.99133138791943949759
70 -3221760 35.75399656414345233877 77.89639581706961698264
70 -349136 17.66110220336553898297 59.16787328226648251038
70 -222960 17.64752669885993918131 21.84170140896391960969
70 -957600 50.19018496384809158049 33.54101264952390597301
